ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,RiskScore,LoanApproved
12,42,74453,573,0,1,21,16154,60,1,1,3,258,0.527488434435663,6,0,0.3710335920591852,0,1,0,26,7,781,1633,16204,35493,6204.416666666667,0.7189488829956874,5,5231,0.234654,0.2556845305679195,479.5398903097801,0.1188733655288216,56.0,0
13,18,100508,580,0,0,0,20439,60,1,1,3,247,0.1686248463190475,5,2,0.5813609803865023,0,4,1,20,3,2027,916,181813,99030,8375.666666666666,0.5437487788048109,6,82783,0.235439,0.245374273754178,594.3815331706401,0.1004554701919019,63.0,0
14,19,47624,597,0,1,0,27197,36,1,1,0,196,0.1149665642522752,2,1,0.7515148192746655,0,1,0,15,21,2971,576,45336,9418,3968.6666666666665,0.7199405535105939,3,35918,0.213697,0.2022289217809192,1013.8293748263418,0.3048452985451894,58.0,0
15,33,56650,605,0,2,11,12652,36,2,1,0,336,0.4234308630650563,4,0,0.0441568040602275,0,0,0,21,15,242,131,261435,11144,4720.833333333333,0.8372135908452825,2,250291,0.195152,0.2164127524804118,480.8408279537298,0.1730289485515403,33.6,1
16,27,50042,582,0,2,7,19105,60,2,1,3,680,0.1039191338396645,6,3,0.308869314312398,0,1,0,36,14,2214,1219,11162,89196,4170.166666666667,0.9208669734304104,5,7021,0.233105,0.1871293871402189,492.58144374273706,0.2811833524821718,53.0,0
17,43,142326,644,0,1,24,13499,96,3,2,0,772,0.2225792308926875,1,2,0.29546987577122,0,4,0,18,2,13247,856,73836,4213,11860.5,0.9710625003288936,5,69623,0.226499,0.2237947653068069,303.1952309300833,0.090653448921216,39.2,1
18,29,16021,553,0,3,8,14655,72,2,0,3,286,0.5560300102027713,5,1,0.1045686898825265,0,1,1,25,12,8651,1127,29278,25345,1335.0833333333333,0.9491878340554412,4,3933,0.253155,0.2347662128605438,381.1768758297885,0.4997267654926323,59.0,0
19,23,34698,594,0,0,0,14314,60,3,3,0,755,0.1872028404084978,5,0,0.1005979617163389,0,1,0,27,29,3721,2098,128035,72605,2891.5,0.874070288426121,5,55430,0.222314,0.2314783138154811,404.73508890905856,0.4010842430949536,48.0,0
20,57,106749,630,0,4,30,15698,48,2,0,3,1059,0.1325425984776519,0,1,0.1472796820224425,0,0,0,21,14,1686,4304,212568,8152,8895.75,0.8543548081496882,4,204416,0.195698,0.2044126918976523,481.3942885517428,0.1731606990474937,32.800000000000004,1
21,37,59138,594,0,0,14,13205,72,1,0,2,564,0.3937721883778739,2,1,0.1116632265342507,0,0,0,18,9,1187,5192,24257,18681,4928.166666666667,0.8131010247954645,4,5576,0.231205,0.2114439606199491,325.1174211273312,0.1804154528987787,51.0,0
22,40,114216,635,0,2,17,9809,60,2,3,3,571,0.2241874208084188,3,1,0.6304483929012554,0,3,0,26,2,720,2127,23984,27250,9518.0,0.8518390523096648,10,2482,0.197309,0.2011140337279482,260.48690525168723,0.0873594142941465,46.400000000000006,1
23,22,63300,503,0,0,0,16476,24,1,2,3,376,0.3896493754670718,3,1,0.2357985888572082,0,3,0,29,7,2154,1735,14710,53225,5275.0,0.8707229525687034,5,6903,0.2399759999999999,0.231670288042,864.2694728341611,0.2351221749448646,53.0,0
24,33,39676,555,0,4,12,47795,60,2,1,1,199,0.3465198640320265,2,1,0.5733945375308696,0,3,0,19,4,840,1085,157749,76577,3306.333333333333,0.5835994945074672,4,81172,0.275295,0.2534741417542575,1412.5978905237318,0.4874275301513454,60.0,0
25,41,59192,594,2,3,16,45608,36,0,4,0,222,0.4093363654675574,4,0,0.2301158454793847,0,0,0,18,1,21084,3449,67609,9196,4932.666666666667,0.8443952357304327,3,58413,0.233608,0.2006826444515419,1696.5434894688626,0.3889465109073244,58.0,0
26,26,15059,462,0,0,0,20240,24,2,3,1,443,0.0988217595655066,2,0,0.0670663376140666,0,3,0,16,25,713,7335,29861,13107,1254.9166666666667,0.5990271745774041,12,16754,0.26424,0.2460206651026253,1076.2027060960763,1.2106004696960564,51.0,0
27,44,15305,608,1,1,23,21452,48,2,4,0,443,0.1113146919186794,1,1,0.0631537920264881,0,3,0,21,29,9547,979,16936,7005,1275.4166666666667,0.9076742682849762,2,9931,0.212452,0.2253753021812303,682.1440641557417,0.8821776393249853,51.0,0
28,32,35498,622,0,4,10,11136,36,1,0,2,698,0.3907447101416139,2,0,0.1764443521487324,0,3,0,18,17,1346,205,34189,31484,2958.1666666666665,0.703667984211605,3,2705,0.185136,0.1648459712586028,394.1781845250898,0.369207792391151,48.0,0
29,36,60227,576,0,1,14,25264,84,0,3,2,458,0.2782753429555818,3,1,0.1441126824725377,0,3,0,27,28,5391,1993,141168,35773,5018.916666666667,0.8143479855465142,5,105395,0.262264,0.239128970981678,622.0190932780162,0.215189684349813,36.8,1
30,32,23861,592,1,3,10,19570,36,1,0,1,521,0.2327773061723514,2,3,0.2237112245223063,0,0,0,29,27,3348,1072,85166,8627,1988.4166666666667,0.773488801049033,8,76539,0.20857,0.197034892145729,724.3380618289065,0.6262963304952381,55.0,0
31,62,73843,667,2,4,37,44668,60,2,1,1,388,0.2959583202347089,7,2,0.1569137013697023,1,3,0,16,3,17023,3352,56887,90622,6153.583333333333,0.9446486535560504,5,3068,0.2161679999999999,0.2346033277950418,1271.0537546851097,0.2696077496339709,62.0,0
32,39,61099,559,0,1,19,10094,84,1,0,0,380,0.1283514136335209,1,0,0.265219566244273,0,0,0,21,19,2987,1795,69823,23540,5091.583333333333,0.8802478786881707,4,46283,0.255594,0.2610500458274805,262.6701511744103,0.1262220627848725,51.0,0
33,27,15000,535,0,3,4,11318,120,2,2,0,721,0.5827549421963798,2,3,0.4483848187309043,0,3,0,15,18,4172,3835,303949,13680,1250.0,0.8655246599640286,1,290269,0.298818,0.3435940105064144,335.3986467038278,0.8451189173630622,53.0,0
34,49,34738,520,0,0,25,10166,72,2,2,0,388,0.5663402048797452,3,3,0.3145138105264432,0,3,0,27,4,1767,2757,249298,10972,2894.833333333333,0.8798337627925418,2,238326,0.265166,0.2739332434358121,288.9598327490928,0.2338510562781137,55.0,0
35,25,85889,571,0,1,3,24186,72,1,2,3,870,0.3316567652324292,4,0,0.0505386436633547,0,2,0,31,10,14921,1110,18899,5554,7157.416666666667,0.9056850659655092,4,13345,0.253686,0.2796177481671844,696.1364545483091,0.2188130896224162,49.0,0
36,42,78701,552,0,0,18,18326,60,1,1,3,482,0.1880053011286133,6,1,0.0713019781228963,0,3,0,25,19,463,1585,170720,30154,6558.416666666667,0.706246374378828,7,140566,0.247326,0.2189123509215851,505.01155031559216,0.1504954016313275,36.0,1
37,18,24914,604,0,4,0,8015,36,1,4,0,327,0.3761587952008543,1,4,0.6442658599722689,0,0,0,17,28,2612,199,49999,8146,2076.1666666666665,0.9260164572637286,7,41853,0.191015,0.152812,278.94758109438794,0.2918588333118991,45.6,1
38,24,57231,508,2,0,0,35876,48,1,4,3,370,0.572203517627025,3,0,0.1347406133958152,0,0,0,20,21,7737,242,214229,73682,4769.25,0.5089668709503604,8,140547,0.276876,0.2304681982164745,1150.799076487652,0.3188759399250725,50.0,0
39,42,163303,655,1,1,23,12850,72,2,2,1,337,0.3579693126478545,3,0,0.072959105598751,0,1,0,19,1,3012,309,115322,17900,13608.583333333334,0.9150967945185952,8,97422,0.20035,0.1895312940882554,300.0461613403112,0.0468120851183611,37.6,1
40,48,38453,595,2,3,26,30517,48,0,0,2,560,0.3824377045646856,0,0,0.103003264767073,0,3,0,22,20,5165,1539,46352,3481,3204.4166666666665,0.793542960098904,6,42871,0.228017,0.2262305329127014,971.8230602281166,0.4780349185430889,54.0,0
41,42,99920,582,1,1,20,23363,12,2,3,1,298,0.615080763381052,3,2,0.2058309595482642,0,1,0,20,11,991,288,27778,23569,8326.666666666666,0.7297761837911412,10,4209,0.197363,0.1754356855019271,2136.847992796173,0.2924156916888919,44.8,1
42,38,57860,591,0,3,20,25576,96,1,4,3,159,0.144070320692704,3,0,0.0743870323199498,0,0,0,27,1,2059,427,463089,25653,4821.666666666667,0.841298379347302,8,437436,0.265076,0.2876549577385666,683.4043512189653,0.1747122747083923,47.0,0
43,36,30890,590,0,3,16,10176,24,0,2,2,289,0.2138637490821043,3,1,0.1247302171537788,0,2,0,23,6,11162,249,43010,28334,2574.1666666666665,0.808568548732828,7,14676,0.1901759999999999,0.1765266450530429,506.3215206405897,0.3089627143958264,53.0,0
44,22,15561,500,0,3,1,20169,36,2,2,3,346,0.1042237707058156,6,0,0.3745583771833413,0,1,0,25,13,1929,1463,16965,5913,1296.75,0.5982463066451033,4,11052,0.255169,0.2423902998160025,793.8209078280751,0.8789827706405052,55.0,0
45,31,105957,530,0,3,7,53987,72,2,0,1,399,0.0464504455465448,0,0,0.6210591922536411,0,0,0,31,16,4218,208,165299,69541,8829.75,0.5251864971506883,3,95758,0.303987,0.3267509877777587,1718.3773131502862,0.2398003695631571,54.0,0
46,34,82887,545,0,3,13,20996,84,0,2,1,471,0.3740170430031402,2,0,0.1515959478647919,0,4,0,19,8,16502,1246,17748,117394,6907.25,0.9049310272334222,2,4958,0.273496,0.279583208405156,571.7878722615751,0.1509700491891237,50.0,0
47,52,53555,631,0,0,31,29418,60,0,1,2,221,0.2577000441958514,0,1,0.1479091377421932,0,2,0,28,20,9902,1607,12300,27582,4462.916666666667,0.8002982768774678,4,2753,0.218918,0.2176638798305933,808.5905593660116,0.2306990330014403,47.0,0
48,44,105639,627,0,3,20,20409,108,3,0,3,387,0.2821744664134705,1,4,0.3270783966346243,0,3,0,22,21,3379,5476,165235,22300,8803.25,0.6232275668280846,5,142935,0.251909,0.2637402272037486,495.9515749423792,0.1002983642339339,46.0,0
49,18,58342,519,0,3,0,10077,24,2,3,0,592,0.1592144927585534,3,0,0.1928691558716403,0,1,0,20,7,5076,230,25120,15562,4861.833333333333,0.9495358925293532,8,9558,0.225577,0.260699050163498,543.2493604262762,0.2335023195145061,50.0,0
50,43,121939,653,0,2,25,41215,48,0,0,0,220,0.5329414041983653,2,1,0.2444251231872098,0,4,0,30,12,1365,4000,188167,2457,10161.583333333334,0.8446177031890929,8,185710,0.209715,0.1846492795717869,1220.7265633854008,0.1417817003634998,32.800000000000004,1
51,35,16054,526,0,0,13,20612,36,1,1,2,465,0.1443622367669244,1,2,0.2065330441829189,0,2,0,25,21,4127,665,51140,11870,1337.8333333333333,0.6159170722807443,6,39270,0.242612,0.2316638280282655,799.6733391447596,0.9453145676926072,53.0,0
52,31,36057,592,0,0,11,29501,36,1,3,1,384,0.231684159042131,4,0,0.187428659092861,0,3,0,18,12,2220,438,19637,56982,3004.75,0.7319871064477125,4,1500,0.218501,0.2142852811770499,1117.9536116840152,0.4998597592758183,51.0,0
53,47,124086,631,0,3,27,36798,24,3,3,0,713,0.2244822886310728,6,1,0.3397144748555306,0,0,0,27,24,3281,1704,32072,21593,10340.5,0.7159631549303098,6,10479,0.196298,0.1676517991879249,1815.227227787432,0.2444975801738244,39.2,1
54,52,272693,586,0,1,28,19717,84,1,0,3,278,0.3724747249366798,2,2,0.2701575024326625,0,0,0,19,13,801,1835,94338,5443,22724.416666666668,0.7444943912584154,8,88895,0.251717,0.2181145262191699,459.5963314611698,0.0324583175128589,38.400000000000006,1
55,51,48757,615,0,1,27,16173,84,0,3,0,817,0.2107139712881695,1,0,0.3053767173882865,0,1,0,28,19,21739,266,39354,97462,4063.0833333333335,0.4913421694393113,2,3120,0.233673,0.221322804523553,380.1899401553989,0.2946505995419076,52.0,0
56,29,31683,498,0,0,5,10566,24,1,2,1,183,0.44355410578573,4,2,0.0903706187413158,0,1,0,22,12,30896,2581,278821,123883,2640.25,0.829092654201392,5,154938,0.2365659999999999,0.2094714381765813,542.6665153221236,0.2748476528064098,48.0,0
57,36,69003,499,1,0,11,5376,96,2,4,0,458,0.3676627894804439,6,2,0.1743798193059494,0,0,0,28,11,983,1153,37496,23994,5750.25,0.7790233571979756,3,13502,0.2908759999999999,0.2484149684060046,129.3875730579447,0.1021499192309803,42.400000000000006,1
58,43,72408,616,0,1,18,23181,48,1,0,3,803,0.2346544414979507,1,2,0.3654388165555161,1,1,0,22,29,3815,305,22524,33442,6034.0,0.820967193532392,4,5786,0.210181,0.2522172,771.4847975541575,0.2609354984345637,63.0,0
59,51,105087,653,0,4,33,48331,108,2,1,0,772,0.1169995622862777,5,1,0.1805575456028504,0,0,1,22,24,21204,2121,201313,59261,8757.25,0.5741986017645414,4,142052,0.266831,0.2737124988995358,1208.1533253808643,0.2261158840253349,44.0,0
60,34,15000,607,0,4,11,26412,96,1,1,2,468,0.0312666074670237,1,2,0.3501123923122793,0,3,0,18,22,2232,2085,234374,11163,1250.0,0.8258669004979884,6,223211,0.257912,0.2764505169969469,685.4486806693817,0.9227589445355052,48.0,0
61,37,38513,600,1,3,16,21225,48,0,2,3,373,0.5186353659043479,2,0,0.1684358288403604,0,2,0,22,29,1458,340,44836,28653,3209.4166666666665,0.8752034217599216,4,16183,0.216225,0.2311041625309269,681.5771431207845,0.3285884173512688,52.0,0
62,26,77555,527,0,1,5,22854,36,1,0,3,499,0.0954795705875424,6,1,0.1882781482364729,0,2,0,19,22,8710,691,39027,9580,6462.916666666667,0.8824741117777509,5,29447,0.244354,0.1999300668014297,849.2551010144613,0.2086140314895691,39.2,1
63,25,15000,576,0,3,1,18177,48,2,0,0,528,0.2733122633825723,6,1,0.2360832262016053,0,3,0,25,3,5689,1111,99036,274582,1250.0,0.8687197721258745,3,1077,0.225177,0.2198549053492861,572.5428040888214,0.8804342432710571,57.0,0
64,49,24973,611,0,1,30,17466,48,1,3,2,336,0.2800815869769942,1,0,0.4149944474463848,0,0,0,23,12,3167,1547,44944,30121,2081.083333333333,0.8723462860748266,9,14823,0.206966,0.2214430975949385,551.6544409318947,0.4265347892196666,55.0,0
65,56,18248,574,0,0,37,16443,24,0,0,2,733,0.2834741820252165,2,1,0.0636283363199063,0,3,0,23,20,2682,548,204131,11483,1520.6666666666667,0.9338919368558886,2,192648,0.204443,0.1736984562994106,815.9042462329553,1.018569210587213,48.0,0
66,39,67367,615,1,0,15,26889,48,1,1,0,317,0.0079659183933911,4,0,0.4659121203237648,0,1,0,29,24,8241,5430,115099,16012,5613.916666666667,0.5254568787953385,4,99087,0.214389,0.1715112,777.9871224967229,0.1950486955031495,42.400000000000006,1
67,52,32418,647,0,1,29,32208,12,1,2,3,447,0.4134019823146939,1,0,0.3187597670827545,0,0,0,26,3,2926,533,326015,12696,2701.5,0.7782867665556822,3,313319,0.173708,0.1507093998795362,2908.117979703395,1.241946318602034,50.0,0
68,44,26879,649,0,1,21,20313,60,1,1,3,562,0.4332425002437474,3,2,0.2196495791430893,0,3,0,22,29,4029,3740,94575,23485,2239.9166666666665,0.7542214073775044,5,71090,0.200813,0.1989639513607613,536.999939490595,0.4906432260830812,50.0,0
69,32,54128,620,0,1,11,20676,36,2,0,0,322,0.2634989466223707,2,1,0.1001359210966172,0,3,0,32,7,4943,388,92000,4196,4510.666666666667,0.7899474592022075,1,87804,0.195676,0.1777530372100154,745.1584241528697,0.2365855211689778,36.8,1
70,44,19924,535,0,3,20,21767,48,1,0,0,495,0.2453260140229627,3,0,0.3843523709782191,0,2,0,32,19,21032,1679,22711,8051,1660.3333333333333,0.8144556737015609,8,14660,0.249267,0.2991204,782.6292869929284,0.7695016785743396,56.0,0
71,58,90788,672,0,1,34,18243,36,1,2,0,153,0.2979257232305213,3,0,0.1466334645866133,0,1,0,20,21,1980,1139,13542,32218,7565.666666666667,0.7530314751383508,6,5911,0.167243,0.1404285694238773,623.8822990927248,0.102685240220213,34.4,1
72,39,190445,619,0,4,16,28894,36,2,3,0,304,0.2636491392588649,4,1,0.0128331622197715,0,4,0,24,8,2857,956,154003,38230,15870.416666666666,0.9612516119421664,6,115773,0.204394,0.2141253058596204,1094.712989199109,0.0881333501556318,33.6,1
73,58,35372,612,0,3,38,25313,24,1,1,0,424,0.291020375896654,3,0,0.4043888356972662,0,2,0,20,26,2811,3235,123931,4752,2947.6666666666665,0.8572348846551523,3,119179,0.1943129999999999,0.1969996578311956,1284.618306282223,0.5796511273150141,50.0,0
74,18,15000,570,0,0,0,50226,48,1,1,0,537,0.2081155309488201,10,0,0.2267352834345347,0,1,1,16,26,3575,3286,153676,71478,1250.0,0.7835636283739139,3,82198,0.260226,0.228380005946275,1605.3625699782506,1.7138900559826005,58.0,0
75,49,40829,617,0,1,25,25478,36,1,1,0,785,0.0732205581912403,3,0,0.2537459242072161,0,0,0,11,14,2267,1111,42122,7348,3402.4166666666665,0.9519486310258534,0,34774,0.201978,0.1793120992231495,920.2117648607896,0.5011766435212588,49.0,0
76,41,58655,523,0,0,16,26493,96,2,4,0,206,0.4153044222038413,4,0,0.1751875631410331,0,4,0,24,13,2003,1731,64414,41991,4887.916666666667,0.8527137197285295,1,22423,0.299993,0.3344401374117971,795.1657822698164,0.2048246421828965,51.0,0
77,36,68801,531,0,1,14,18652,36,2,0,3,1044,0.1655157134903838,1,2,0.3352329239387456,0,0,1,30,16,1810,630,446359,16938,5733.416666666667,0.554409422563644,2,429421,0.238152,0.2857824,777.3521551115733,0.3176730841316096,53.0,0
78,41,92731,619,0,1,19,31116,48,2,1,3,396,0.1230518515092504,4,1,0.2211172138523826,0,3,0,20,3,3025,1004,11209,14838,7727.583333333333,0.5537108281243177,3,7629,0.216616,0.2154245032726364,972.6302005988942,0.1771097303726556,50.0,0
79,18,40050,545,1,2,0,112253,48,1,1,3,406,0.3061276212624648,4,1,0.184527533056013,0,3,1,33,2,1506,726,18390,29714,3337.5,0.9370302423573678,4,7672,0.3347529999999999,0.3584856961488986,4432.382784161488,1.4497027068648651,64.0,0
80,37,40784,618,0,4,14,41465,72,1,0,2,370,0.1743262446861453,3,0,0.2037609569235825,0,3,0,26,27,21978,1394,197632,25549,3398.6666666666665,0.8315009890937338,4,172083,0.247465,0.2927634730946802,1228.1601646621898,0.4702315117680041,45.0,0
81,44,15000,588,0,3,23,26563,48,1,0,0,378,0.3089276425404629,3,3,0.2981084080452126,0,3,0,24,21,1357,2246,496594,22556,1250.0,0.8808597634247228,6,474038,0.227563,0.2098160677696806,822.2789887950337,0.9602231910360268,48.0,0
82,57,86699,615,0,0,39,7469,60,2,0,3,413,0.1137618678075246,6,2,0.17913554613205,0,3,0,18,24,1872,8480,36531,70691,7224.916666666667,0.9194949321063196,6,8130,0.204969,0.1988497365267741,197.40508700773685,0.0844861076147688,36.0,1
83,33,17676,540,0,0,8,17801,48,1,4,2,226,0.1530945685800469,4,1,0.3556427908501307,0,1,0,38,21,8380,1994,70945,22271,1473.0,0.8784232811240572,5,48674,0.242801,0.2438807925407874,584.170970661055,0.5500142367013272,55.0,0
84,30,42752,517,0,3,4,14379,36,1,2,3,363,0.3577786360795207,3,0,0.2975879340693383,0,0,0,18,2,6094,1404,172820,26438,3562.6666666666665,0.816055799105247,4,146382,0.240879,0.239661811526782,563.8738944216548,0.2601629568923058,53.0,0
85,33,29096,570,0,0,12,40138,24,1,3,1,685,0.1412970784565487,2,1,0.2394469395065947,0,1,0,28,19,1461,1471,86250,50013,2424.6666666666665,0.7607583903351405,4,36237,0.230138,0.2486006220333732,2139.408949094737,1.164864840154552,53.0,0
86,50,60992,663,0,1,30,24642,48,2,0,3,664,0.2526376838731083,0,0,0.0555881712831942,0,3,0,28,17,4726,1723,52202,13350,5082.666666666667,0.9171479632528536,4,38852,0.188142,0.2164492880291759,771.6304125662359,0.2824561409823392,44.0,0
87,43,100032,524,0,4,21,19105,60,1,0,0,824,0.106728644103128,5,0,0.2266498679075305,1,2,0,24,29,9197,302,49889,4301,8336.0,0.8314939467511734,6,45588,0.262105,0.209684,516.5148902524263,0.160810327525483,49.6,1
88,33,35882,620,0,4,11,9259,48,2,0,2,257,0.1702458363341031,3,0,0.1475930047073919,0,3,0,23,11,3552,1162,61154,91262,2990.1666666666665,0.8833715788381252,3,8266,0.194259,0.2000114779249506,281.76038720038355,0.1801773771362968,47.0,0
89,46,32781,623,0,3,22,17468,60,1,1,1,1180,0.0874823837188859,4,0,0.0937773219549579,0,1,0,23,19,7428,2122,299192,4938,2731.75,0.6609536549602993,2,294254,0.210968,0.2320653232549298,494.5061263795844,0.6129792720342581,41.0,0
90,41,51707,585,0,1,18,20069,72,1,3,3,407,0.0059223893278881,5,0,0.2173883786590151,0,3,0,25,7,3815,1252,24114,24580,4308.916666666667,0.8373237138844005,4,2253,0.242569,0.268223329089061,563.2583042698386,0.2251745344196735,52.0,0
91,51,31251,596,2,1,30,66582,24,2,0,3,357,0.5664480969779048,2,2,0.1601695538852808,0,3,1,21,25,2313,945,30153,37940,2604.25,0.7840615661655488,5,3276,0.243582,0.2474564400627162,3545.091047229281,1.498355014775571,61.0,0
92,31,22359,524,0,3,11,26889,48,1,2,0,216,0.2211316958194412,5,1,0.4552599311322595,0,0,0,14,8,24764,3578,131521,46881,1863.25,0.8538791924339512,4,84640,0.259889,0.2407135350402262,877.6917767367678,0.586980693270773,57.0,0
93,36,152650,610,0,0,12,24815,48,1,3,1,148,0.103056870955778,3,1,0.3843075055403481,0,3,0,21,25,4346,587,127009,89100,12720.833333333334,0.7725809772296938,6,37909,0.214815,0.2135114898398752,773.1082609982855,0.0724094276579064,38.400000000000006,1
94,35,15120,562,1,4,11,21849,84,1,0,3,423,0.5157266656021708,5,1,0.2386445210334251,0,1,0,24,26,1874,1245,18522,14697,1260.0,0.951149524950168,5,3825,0.265849,0.2441707013922021,544.9168704597823,0.7681879924283986,58.0,0
95,22,59830,570,1,0,0,22734,24,2,2,3,246,0.432399872563476,3,2,0.5723276818607661,0,1,0,29,9,2511,329,449345,13537,4985.833333333333,0.7485047297788853,7,435808,0.212734,0.1746266391648873,1129.0809235415209,0.2757976112735793,45.6,1
96,43,55308,645,0,2,22,19539,72,2,0,1,362,0.0715581905110223,3,0,0.2662099288951911,0,1,0,29,24,5995,932,101618,7871,4609.0,0.9664762707448832,4,93747,0.212039,0.1696312,434.265166928783,0.1727631084679503,36.8,1
97,43,30948,601,0,1,17,25291,36,1,0,0,286,0.0509513419696787,1,0,0.3603486893761465,0,0,0,19,25,7167,291,99978,21318,2579.0,0.7435777656921195,9,78660,0.209791,0.2233077175954149,970.2078724473372,0.4870910711311893,49.0,0
98,40,56940,592,0,0,21,15752,96,1,0,0,213,0.4250499826740336,3,0,0.1172375847043762,0,1,0,20,7,1349,634,97769,33321,4745.0,0.7907911613907693,5,64448,0.254752,0.2616014984888397,392.9661211330063,0.1277062425991583,50.0,0
99,37,44000,539,0,3,13,28714,60,1,3,3,457,0.4141824374841434,3,1,0.1999940926692494,0,3,0,10,29,5872,2939,331208,29418,3666.6666666666665,0.946449956266186,8,301790,0.264214,0.2441737483948041,833.0142733198009,0.3518220745417639,46.0,0
100,23,81554,509,0,3,4,35101,72,1,1,3,519,0.3579209013937276,5,0,0.2943235497801772,0,3,0,23,24,3233,1955,84421,14641,6796.166666666667,0.8231243849036931,5,69780,0.295601,0.3165122753604206,1093.628675336426,0.237285039409926,49.0,0
101,34,26567,612,0,1,13,17339,60,2,1,0,194,0.0873860931301412,1,1,0.0653370744758526,0,2,0,17,14,2738,512,55729,81589,2213.9166666666665,0.6828916312462736,4,9625,0.216339,0.2321913245705517,490.98002931805775,0.3093973859230132,48.0,0
